AB型血	AB型血 🆎️
单选框	单选框 🔘
卖艺	卖艺 🤹🏻
卖艺女	卖艺女 🤹🏻‍♀️
卖艺男	卖艺男 🤹🏻‍♂️
卖萌	卖萌 💠 😊 🥰
南乔治亚与南三明治群岛	南乔治亚与南三明治群岛 🇬🇸
南乔治亚和南桑威奇群岛	南乔治亚和南桑威奇群岛 🇬🇸
南喬治亞和南桑威奇群島	南喬治亞和南桑威奇群島 🇬🇸
南喬治亞與南三明治群島	南喬治亞與南三明治群島 🇬🇸
南帽	南帽 🎩
南朝鮮	南朝鮮 🇰🇷
南朝鲜	南朝鲜 🇰🇷
南极	南极 🇦🇶
南极洲	南极洲 🇦🇶
南極	南極 🇦🇶
南極洲	南極洲 🇦🇶
南瓜	南瓜 🎃
南瓜人	南瓜人 🎃
南瓜灯	南瓜灯 🎃
南瓜燈	南瓜燈 🎃
南瓜脸	南瓜脸 🎃
南瓜臉	南瓜臉 🎃
南苏丹	南苏丹 🇸🇸
南蘇丹	南蘇丹 🇸🇸
南非	南非 🇿🇦
南韓	南韓 🇰🇷
南韩	南韩 🇰🇷
博士	博士 🧑🏻‍🎓
博士女	博士女 👩🏻‍🎓
博士男	博士男 👨🏻‍🎓
博奈尔	博奈尔 🇧🇶
博奈爾	博奈爾 🇧🇶
博茨瓦纳	博茨瓦纳 🇧🇼
卡塔尔	卡塔尔 🇶🇦
卡塔爾	卡塔爾 🇶🇦
卡士达	卡士达 🍮
卡士達	卡士達 🍮
卡車	卡車 🚛 🛻
卡车	卡车 🚛 🛻
卡达	卡达 🇶🇦
卡達	卡達 🇶🇦
卢安达	卢安达 🇷🇼
卢旺达	卢旺达 🇷🇼
卢森堡	卢森堡 🇱🇺
卤煮	卤煮 🍢
卫士	卫士 💂🏻
卫士女	卫士女 💂🏻‍♀️
卫士男	卫士男 💂🏻‍♂️
卫星	卫星 🛰️
卫生纸	卫生纸 🧻
卫生间	卫生间 🚾
卫门	卫门 💂🏻
卫门女	卫门女 💂🏻‍♀️
卫门男	卫门男 💂🏻‍♂️
印尼	印尼 🇮🇩
印度	印度 🇮🇳
印度寺庙	印度寺庙 🛕
印度寺廟	印度寺廟 🛕
印度尼西亚	印度尼西亚 🇮🇩
印度尼西亞	印度尼西亞 🇮🇩
印度庙	印度庙 🛕
印度廟	印度廟 🛕
印度教	印度教 🕉️ 🛕
印度神庙	印度神庙 🛕
印度神廟	印度神廟 🛕
危地馬拉	危地馬拉 🇬🇹
危地马拉	危地马拉 🇬🇹
危险	危险 ⚠️ 🚨
危險	危險 ⚠️ 🚨
卷动	卷动 📜
卷发	卷发 🧑🏻‍🦱
卷发女	卷发女 👩🏻‍🦱
卷发男	卷发男 👨🏻‍🦱
卷纸	卷纸 🧻
卷虾	卷虾 🍤
卷饼	卷饼 🌯
厄利垂亚	厄利垂亚 🇪🇷
厄利垂亞	厄利垂亞 🇪🇷
厄瓜多	厄瓜多 🇪🇨
厄瓜多尔	厄瓜多尔 🇪🇨
厄瓜多爾	厄瓜多爾 🇪🇨
厄立特里亚	厄立特里亚 🇪🇷
厄立特里亞	厄立特里亞 🇪🇷
厉害	厉害 🤩
压缩	压缩 🗜️
压路机	压路机 🚜
厕所	厕所 🚽 🚾
厕所泵	厕所泵 🪠
原子	原子 ⚛️
原子弹	原子弹 ☢️
原子彈	原子彈 ☢️
原子笔	原子笔 🖊️
原子筆	原子筆 🖊️
原子能	原子能 ⚛️
原諒我	原諒我 🙏🏻
原谅我	原谅我 🙏🏻
厨子	厨子 🧑🏻‍🍳
厨子女	厨子女 👩🏻‍🍳
厨子男	厨子男 👨🏻‍🍳
厨师	厨师 🧑🏻‍🍳
厨师女	厨师女 👩🏻‍🍳
厨师男	厨师男 👨🏻‍🍳
厲害	厲害 🤩
去氧核糖核酸	去氧核糖核酸 🧬
参禅	参禅 🧘🏻
参禅女	参禅女 🧘🏻‍♀️
参禅男	参禅男 🧘🏻‍♂️
參禪	參禪 🧘🏻
參禪女	參禪女 🧘🏻‍♀️
參禪男	參禪男 🧘🏻‍♂️
叉	叉 ❎
叉叉	叉叉 ❌
友誼	友誼 🤝🏻
友谊	友谊 🤝🏻
双人	双人 👥
双叹号	双叹号 ‼️
双子座	双子座 ♊️
双峰骆驼	双峰骆驼 🐫
双版	双版 ⛷️
双版滑雪	双版滑雪 ⛷️
双目	双目 👀 👀
双眼	双眼 👀
双肩包	双肩包 🎒
双胞	双胞 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
双胞胎	双胞胎 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
双鱼座	双鱼座 ♓️
发件匣	发件匣 📤
发件箱	发件箱 📤
发火	发火 😡
发烧	发烧 🤒
发狂	发狂 🤯
发票	发票 🧾
发誓	发誓 ✊🏻
取款	取款 🏧
取款机	取款机 🏧
取款機	取款機 🏧
取錢	取錢 🏧
取钱	取钱 🏧
受伤	受伤 🤕
受伤了	受伤了 🤕
受傷	受傷 🤕
受傷了	受傷了 🤕
叙利亚	叙利亚 🇸🇾
口	口 👄
口岸	口岸 🛂
口紅	口紅 💄
口红	口红 💄
口罩	口罩 😷
古堡	古堡 🏰
古巴	古巴 🇨🇺
可	可 🉑️
可乐	可乐 🥤
可以	可以 🆗️ 👌🏻 😉
可回收	可回收 ♻️
可怕	可怕 😨 😱 🙀 🤯
可怜	可怜 🥺
可愛	可愛 💠 🥰
可憐	可憐 🥺
可樂	可樂 🥤
可爱	可爱 💠 🥰
可真	可真 😓
台历	台历 📆
台式机	台式机 🖥️
台湾	台湾 🇹🇼
台灣	台灣 🇹🇼
台球	台球 🎱
台风	台风 🌀
史巴克	史巴克 🖖🏻
史波克	史波克 🖖🏻
史瓦济兰	史瓦济兰 🇸🇿
史瓦濟蘭	史瓦濟蘭 🇸🇿
右	右 ➡️
右上	右上 ↗️
右下	右下 ↘️
右勾拳	右勾拳 🤛🏻
右手边	右手边 👉🏻
右手邊	右手邊 👉🏻
右拳	右拳 🤛🏻
右边	右边 👉🏻
右邊	右邊 👉🏻
叶门	叶门 🇾🇪
司南	司南 🧭
叹号	叹号 ❕ ❗️
叹气	叹气 😔
叹问号	叹问号 ⁉️
叻仔	叻仔 🤩
叻女	叻女 🤩
吃吧	吃吧 😋
吃面	吃面 🍜
吃饭	吃饭 🍚
合	合 🈴️
合作	合作 🤝🏻
吉他	吉他 🎸
吉士	吉士 🍮
吉它	吉它 🎸
吉尔吉斯	吉尔吉斯 🇰🇬
吉尔吉斯斯坦	吉尔吉斯斯坦 🇰🇬
吉布地	吉布地 🇩🇯
吉布提	吉布提 🇩🇯
吉爾吉斯	吉爾吉斯 🇰🇬
吉爾吉斯斯坦	吉爾吉斯斯坦 🇰🇬
吉里巴斯	吉里巴斯 🇰🇮
同学	同学 🧑🏻‍🎓
同学女	同学女 👩🏻‍🎓
同学男	同学男 👨🏻‍🎓
同學	同學 🧑🏻‍🎓
同學女	同學女 👩🏻‍🎓
同學男	同學男 👨🏻‍🎓
同志	同志 👬🏻
同性恋	同性恋 🏳‍🌈
同性戀	同性戀 🏳‍🌈
后	后 ⬇️
吐	吐 🤮
吐司	吐司 🍞
吐瓦魯	吐瓦魯 🇹🇻
吐瓦鲁	吐瓦鲁 🇹🇻
吐舌	吐舌 😛
吐舌头	吐舌头 😛
吐舌頭	吐舌頭 😛
向上	向上 👆🏻
向下	向下 👇🏻
向右	向右 👉🏻
向左	向左 👈🏻
向日葵	向日葵 🌻
向錢看	向錢看 🤑
向钱看	向钱看 🤑
吓	吓 😦
吓人	吓人 😱 🙀
吓死	吓死 😱 🙀
吕宋	吕宋 🇵🇭
含蓄	含蓄 ☺️
听不下去	听不下去 😞
听不懂	听不懂 😵
听不见	听不见 🧏🏻
听不见女	听不见女 🧏🏻‍♀️
听不见男	听不见男 🧏🏻‍♂️
听唔到	听唔到 🙉
听诊器	听诊器 🩺
听音乐	听音乐 🎧
吸把	吸把 🪠
吸血鬼	吸血鬼 🧛🏻
吸血鬼女	吸血鬼女 🧛🏻‍♀️
吸血鬼男	吸血鬼男 🧛🏻‍♂️
吹	吹 🌬️
吹气	吹气 🌬️
吹氣	吹氣 🌬️
吹風	吹風 💨
吹风	吹风 💨
吻	吻 💋 😘
吻你	吻你 😘 😙 😽 😽
呂宋	呂宋 🇵🇭
呃	呃 😢 😿 🤪
呜呜	呜呜 😖
呜呜呜	呜呜呜 😖
呲牙	呲牙 😁
呵呵	呵呵 🙃 🥲
呵护	呵护 🤲🏻
呵護	呵護 🤲🏻
呼机	呼机 📟
呼機	呼機 📟
命中	命中 🎯
和平	和平 ☮️ 🕊️
和平鴿	和平鴿 🕊️
和平鸽	和平鸽 🕊️
和服	和服 👘
咖啡	咖啡 ☕️
咖喱飯	咖喱飯 🍛
咖喱饭	咖喱饭 🍛
咦	咦 🤨
咧嘴	咧嘴 😁
咨询	咨询 ℹ️
哀悼	哀悼 💮
哆嗦	哆嗦 🥶
哇	哇 😃 😯
哇哦	哇哦 😃 😯
哇喔	哇喔 😯
哈	哈 😄 😸
哈哈	哈哈 😄 😸
哈哈哈	哈哈哈 🤣
哈哈哈哈	哈哈哈哈 🤣
哈密瓜	哈密瓜 🍈
哈欠	哈欠 🥱
哈萨克	哈萨克 🇰🇿
哈萨克斯坦	哈萨克斯坦 🇰🇿
哈薩克	哈薩克 🇰🇿
哈薩克斯坦	哈薩克斯坦 🇰🇿
哈雷彗星	哈雷彗星 ☄️
响指	响指 🤞🏻
响铃	响铃 🔔
哟	哟 😯
哥伦比亚	哥伦比亚 🇨🇴
哥俩	哥俩 👬🏻
哥俩好	哥俩好 👬🏻
哥倆	哥倆 👬🏻
哥倆好	哥倆好 👬🏻
哥倫比亞	哥倫比亞 🇨🇴
哥妹	哥妹 👫🏻
哥弟	哥弟 👬🏻
哥斯大黎加	哥斯大黎加 🇨🇷
哥斯达黎加	哥斯达黎加 🇨🇷
哥斯達黎加	哥斯達黎加 🇨🇷
哦	哦 😮
哦哦	哦哦 😀
哦耶	哦耶 ✌🏻️
哭	哭 😭
哭了	哭了 😭
哭泣	哭泣 😭
哭笑	哭笑 😂 😹
哺乳	哺乳 🤱🏻
哼	哼 😤 😾 🙄
唇	唇 👄
唇印	唇印 💋
唇彩	唇彩 💄
唇膏	唇膏 💄
唉	唉 😔 😪
唓	唓 🤪
唔关我事	唔关我事 🤷🏻
唔关我事女	唔关我事女 🤷🏻‍♀️
唔关我事男	唔关我事男 🤷🏻‍♂️
唔好意思	唔好意思 🙏🏻
唔好講	唔好講 🙊
唔好讲	唔好讲 🙊
唔明	唔明 😵
唔畀听	唔畀听 🙉
唔畀睇	唔畀睇 🙈
唔畀聽	唔畀聽 🙉
唔畀講	唔畀講 🙊
唔畀讲	唔畀讲 🙊
唔知	唔知 😲 🤷🏻
唔知女	唔知女 🤷🏻‍♀️
唔知男	唔知男 🤷🏻‍♂️
唔關我事	唔關我事 🤷🏻
唔關我事女	唔關我事女 🤷🏻‍♀️
唔關我事男	唔關我事男 🤷🏻‍♂️
唯利是图	唯利是图 🤑
唯利是圖	唯利是圖 🤑
唱	唱 🎤️
唱歌	唱歌 🎤️
唵	唵 🕉️
商场	商场 🏬
商場	商場 🏬
商标	商标 ™️
商標	商標 ™️
商販	商販 👲🏻
商贩	商贩 👲🏻
啊	啊 😥 😿 🤨
啊嚏	啊嚏 🤧
問嘆號	問嘆號 ⁉️
問號	問號 ❓ ❔
啤酒	啤酒 🍺
啥也沒說	啥也沒說 🙊
啥也没说	啥也没说 🙊
啥啊	啥啊 😲
啦啦队	啦啦队 👯🏻 🥳
啦啦队女	啦啦队女 👯🏻‍♀️
啦啦队男	啦啦队男 👯🏻‍♂️
啦啦隊	啦啦隊 👯🏻 🥳
啦啦隊女	啦啦隊女 👯🏻‍♀️
啦啦隊男	啦啦隊男 👯🏻‍♂️
喀麥隆	喀麥隆 🇨🇲
喀麦隆	喀麦隆 🇨🇲
喂奶	喂奶 🧑🏻‍🍼
喂奶女	喂奶女 👩🏻‍🍼
喂奶男	喂奶男 👨🏻‍🍼
喇叭	喇叭 🎺 📣
喊	喊 🗣️
喊話	喊話 🗣️
喊话	喊话 🗣️
喔	喔 😮 😶
喔耶	喔耶 ✌🏻️
喜愛	喜愛 😻
喜欢	喜欢 ☺️ 😍 😻 🥰
喜欢你	喜欢你 😍 😻
喜歡	喜歡 ☺️ 😍 😻 🥰
喜歡你	喜歡你 😍 😻
喜爱	喜爱 😻
喜馬紅	喜馬紅 🧉
喜马红	喜马红 🧉
喝采	喝采 🥳
喧哗	喧哗 🗣️
喧嘩	喧嘩 🗣️
喫吧	喫吧 😋
喫飯	喫飯 🍚
喫麵	喫麵 🍜
喬治亞	喬治亞 🇬🇪
單峰駱駝	單峰駱駝 🐪
單曲循環	單曲循環 🔂
單板	單板 🏂🏻
單板滑雪	單板滑雪 🏂🏻
單親媽媽	單親媽媽 👩‍👦 👩‍👧 👩‍👧‍👦
單親家庭	單親家庭 👨‍👦 👨‍👧 👨‍👧‍👦 👩‍👦 👩‍👧 👩‍👧‍👦
單親爸爸	單親爸爸 👨‍👦 👨‍👧 👨‍👧‍👦
單身母親	單身母親 👩‍👦 👩‍👧 👩‍👧‍👦
單身父親	單身父親 👨‍👦 👨‍👧 👨‍👧‍👦
單車	單車 🚲
單軌電車	單軌電車 🚝
單選框	單選框 🔘
喲	喲 😯
営	営 🈺️
喷嚏	喷嚏 🤧
喷头	喷头 🚿
喷气	喷气 💨
喷泉	喷泉 ⛲️
嗚嗚	嗚嗚 😖
嗚嗚嗚	嗚嗚嗚 😖
嗯	嗯 😶 🤨
嗯嗯	嗯嗯 😀
嘆問號	嘆問號 ⁉️
嘆氣	嘆氣 😔
嘆號	嘆號 ❕ ❗️
嘘	嘘 🤫
嘟嘴	嘟嘴 😗
嘪	嘪 😟
嘴	嘴 👄
嘴唇	嘴唇 👄
嘻嘻	嘻嘻 😁
嘿嘿	嘿嘿 😈 😏
噁心	噁心 🤢 🤮
噓	噓 🤫
噘嘴	噘嘴 😗 🙎🏻
噘嘴女	噘嘴女 🙎🏻‍♀️
噘嘴男	噘嘴男 🙎🏻‍♂️
噢	噢 😐 😮
噢噢	噢噢 😀
噢耶	噢耶 ✌🏻️
噴嚏	噴嚏 🤧
噴氣	噴氣 💨
噴泉	噴泉 ⛲️
噴頭	噴頭 🚿
嚇人	嚇人 😱 🙀
嚇死	嚇死 😱 🙀
四	四 4️⃣
四叶草	四叶草 🍀
四点	四点 🕓
四点半	四点半 🕟
四脚蛇	四脚蛇 🦎
四腳蛇	四腳蛇 🦎
四葉草	四葉草 🍀
四點	四點 🕓
四點半	四點半 🕟
回到开始	回到开始 🔚
回到開始	回到開始 🔚
回到頂部	回到頂部 🔝
回到顶部	回到顶部 🔝
回力镖	回力镖 🪃
回形針	回形針 📎
回形针	回形针 📎
回收	回收 ♻️
回旋镖	回旋镖 🪃
回族	回族 ☪️ 🧔🏾 🧕🏾
回民	回民 ☪️ 🧔🏾 🧕🏾
囧	囧 😅 😰
困	困 😞 😴 🥱
困了	困了 😴
困觉	困觉 😴
围巾	围巾 🧣
围脖	围脖 🧣
国家公园	国家公园 🏞️
国际	国际 🌐
国际象棋	国际象棋 ♟️
图瓦卢	图瓦卢 🇹🇻
图钉	图钉 📍
圆圈	圆圈 ⭕️
圆月	圆月 🌕
圆珠笔	圆珠笔 🖊️
圈圈	圈圈 ⭕️
國家公園	國家公園 🏞️
國際	國際 🌐
國際象棋	國際象棋 ♟️
圍巾	圍巾 🧣
圍脖	圍脖 🧣
圓圈	圓圈 ⭕️
圓月	圓月 🌕
圓珠筆	圓珠筆 🖊️
圖瓦盧	圖瓦盧 🇹🇻
圖釘	圖釘 📍
土克斯及开科斯群岛	土克斯及开科斯群岛 🇹🇨
土克斯及開科斯群島	土克斯及開科斯群島 🇹🇨
土库曼	土库曼 🇹🇲
土库曼斯坦	土库曼斯坦 🇹🇲
土庫曼	土庫曼 🇹🇲
土庫曼斯坦	土庫曼斯坦 🇹🇲
土星	土星 🪐
土耳其	土耳其 🇹🇷
土豆	土豆 🥔
土豪	土豪 💰
圣佑达修斯	圣佑达修斯 🇧🇶
圣克里斯多福及尼维斯	圣克里斯多福及尼维斯 🇰🇳
圣卢西亚	圣卢西亚 🇱🇨
圣基茨和尼维斯	圣基茨和尼维斯 🇰🇳
圣多美和普林西比	圣多美和普林西比 🇸🇹
圣多美普林西比	圣多美普林西比 🇸🇹
圣婴	圣婴 👼🏻
圣尤斯特歇斯	圣尤斯特歇斯 🇧🇶
圣巴泰勒米	圣巴泰勒米 🇧🇱
圣巴瑟米	圣巴瑟米 🇧🇱
圣文森及格瑞那丁	圣文森及格瑞那丁 🇻🇨
圣文森特和格林纳丁斯	圣文森特和格林纳丁斯 🇻🇨
圣皮埃尔和密克隆	圣皮埃尔和密克隆 🇵🇲
圣皮耶与密克隆	圣皮耶与密克隆 🇵🇲
圣诞奶奶	圣诞奶奶 🤶🏻
圣诞岛	圣诞岛 🇨🇽
圣诞树	圣诞树 🎄
圣诞老人	圣诞老人 🎅🏻 🧑🏻‍🎄
圣诞老奶奶	圣诞老奶奶 🤶🏻
圣诞老爷爷	圣诞老爷爷 🎅🏻
圣赫伦那	圣赫伦那 🇸🇭
圣赫勒拿	圣赫勒拿 🇸🇭
圣露西亚	圣露西亚 🇱🇨
圣马利诺	圣马利诺 🇸🇲
圣马力诺	圣马力诺 🇸🇲
在建	在建 🏗️
圭亚那	圭亚那 🇬🇾
圭亞那	圭亞那 🇬🇾
地下鐵	地下鐵 🚇
地下铁	地下铁 🚇
地图	地图 🗺️
地圖	地圖 🗺️
地球	地球 🌍 🌎 🌏
地瓜	地瓜 🍠
地鐵	地鐵 Ⓜ️ 🚇
地铁	地铁 Ⓜ️ 🚇
坏蛋	坏蛋 🦹🏻
坏蛋女	坏蛋女 🦹🏻‍♀️
坏蛋男	坏蛋男 🦹🏻‍♂️
坐車	坐車 🚙
坐车	坐车 🚙
坚强	坚强 🥲
坞	坞 ⚓️
坟	坟 ⚰️ 🪦
坟地	坟地 🪦
坟墓	坟墓 🪦
坦尚尼亚	坦尚尼亚 🇹🇿
坦尚尼亞	坦尚尼亞 🇹🇿
坦桑尼亚	坦桑尼亚 🇹🇿
坦桑尼亞	坦桑尼亞 🇹🇿
垂斯坦昆哈	垂斯坦昆哈 🇸🇭
垃圾	垃圾 👎🏻
垃圾桶	垃圾桶 🚮
垃圾筒	垃圾筒 🗑️
垒球	垒球 🥎
埃及	埃及 🇪🇬
埃塞俄比亚	埃塞俄比亚 🇪🇹
埃塞俄比亞	埃塞俄比亞 🇪🇹
城堡	城堡 🏯 🏰
城市	城市 🏙️
培养基	培养基 🧫
培养皿	培养皿 🧫
培根	培根 🥓
培養基	培養基 🧫
培養皿	培養皿 🧫
基佬	基佬 👬🏻
基因	基因 🧬
基林	基林 🇨🇨
基督教	基督教 ✝️
基里巴斯	基里巴斯 🇰🇮
堅強	堅強 🥲
堆雪人	堆雪人 ⛄️
堡垒	堡垒 🏰
堡壘	堡壘 🏰
報紙	報紙 📰
報表	報表 📊
報警	報警 🚔
塔可	塔可 🌮
塔吉克	塔吉克 🇹🇯
塔吉克斯坦	塔吉克斯坦 🇹🇯
塗指甲	塗指甲 💅🏻
塞內加爾	塞內加爾 🇸🇳
塞内加尔	塞内加尔 🇸🇳
塞尔维亚	塞尔维亚 🇷🇸
塞席尔	塞席尔 🇸🇨
塞席爾	塞席爾 🇸🇨
塞拉利昂	塞拉利昂 🇸🇱
塞浦路斯	塞浦路斯 🇨🇾
塞爾維亞	塞爾維亞 🇷🇸
塞舌尔	塞舌尔 🇸🇨
塞舌爾	塞舌爾 🇸🇨
塞著	塞著 😧
塢	塢 ⚓️
墓	墓 🪦
墓碑	墓碑 🪦
墙砖	墙砖 🧱
增高	增高 🔼
墨西哥	墨西哥 🇲🇽
墨西哥卷	墨西哥卷 🌯
墨西哥卷饼	墨西哥卷饼 🌯
墨西哥捲	墨西哥捲 🌯
墨西哥捲餅	墨西哥捲餅 🌯
墨西哥粽	墨西哥粽 🫔
墨西哥糉	墨西哥糉 🫔
墨鏡	墨鏡 🕶️
墨镜	墨镜 🕶️
墨魚	墨魚 🦑
墨鱼	墨鱼 🦑
墳	墳 ⚰️ 🪦
墳地	墳地 🪦
墳墓	墳墓 🪦
壁炉钟	壁炉钟 🕰️
壁爐鐘	壁爐鐘 🕰️
壁虎	壁虎 🦎
壓縮	壓縮 🗜️
壓路機	壓路機 🚜
壘球	壘球 🥎
壞蛋	壞蛋 🦹🏻
壞蛋女	壞蛋女 🦹🏻‍♀️
壞蛋男	壞蛋男 🦹🏻‍♂️
士多啤梨	士多啤梨 🍓
壶	壶 🫖
壺	壺 🫖
壽司	壽司 🍣
处女座	处女座 ♍️
备忘录	备忘录 📝
复杂	复杂 🤔
复选框	复选框 ☑️
外匯	外匯 💱 💹
外卖	外卖 🥡
外套	外套 🧥
外星人	外星人 👽
外汇	外汇 💱 💹
外蒙	外蒙 🇲🇳
外蒙古	外蒙古 🇲🇳
外賣	外賣 🥡
多云	多云 ⛅️
多云间晴	多云间晴 🌤️
多哥	多哥 🇹🇬
多明尼加	多明尼加 🇩🇴
多米尼克	多米尼克 🇩🇲
多米尼加	多米尼加 🇩🇴
多选框	多选框 ☑️
多選框	多選框 ☑️
多雲	多雲 ⛅️
多雲間晴	多雲間晴 🌤️
夜	夜 🌃
夜晚	夜晚 🌃
夜景	夜景 🌃
夜色	夜色 🌃
夜間的橋	夜間的橋 🌉
夜间的桥	夜间的桥 🌉
大不列顛	大不列顛 🇬🇧
大不列颠	大不列颠 🇬🇧
大人	大人 🧑🏻
大便	大便 💩
大写字母	大写字母 🔠
大厦	大厦 🏢
大厨	大厨 🧑🏻‍🍳
大厨女	大厨女 👩🏻‍🍳
大厨男	大厨男 👨🏻‍🍳
大哭	大哭 😭
大喊	大喊 🗣️
大声	大声 🔊
大头钉	大头钉 📌
大学生	大学生 🧑🏻‍🎓
大学生女	大学生女 👩🏻‍🎓
大学生男	大学生男 👨🏻‍🎓
大學生	大學生 🧑🏻‍🎓
大學生女	大學生女 👩🏻‍🎓
大學生男	大學生男 👨🏻‍🎓
大寫字母	大寫字母 🔠
大巴	大巴 🚍
大幅增高	大幅增高 ⏫
大幅降低	大幅降低 ⏬
大廈	大廈 🏢
大廚	大廚 🧑🏻‍🍳
大廚女	大廚女 👩🏻‍🍳
大廚男	大廚男 👨🏻‍🍳
大恩	大恩 🙏🏻
大恩大德	大恩大德 🙏🏻
大拇指	大拇指 👍🏻 👍🏻
大楼	大楼 🏙️ 🏢
大樓	大樓 🏙️ 🏢
大法官	大法官 🧑🏻‍⚖️
大法官女	大法官女 👩🏻‍⚖️
大法官男	大法官男 👨🏻‍⚖️
大洋洲	大洋洲 🌏
大浪	大浪 🌊
大漠	大漠 🏜️
大灰狼	大灰狼 🐺
大熊猫	大熊猫 🐼
大熊貓	大熊貓 🐼
大状	大状 🧑🏻‍⚖️
大状女	大状女 👩🏻‍⚖️
大状男	大状男 👨🏻‍⚖️
大狀	大狀 🧑🏻‍⚖️
大狀女	大狀女 👩🏻‍⚖️
大狀男	大狀男 👨🏻‍⚖️
大猩猩	大猩猩 🦍
大白菜	大白菜 🥬
大笑	大笑 🤣
大老鼠	大老鼠 🐀
大聲	大聲 🔊
大肚子	大肚子 🤰🏻
大脑	大脑 🧠
大腦	大腦 🧠
大腿	大腿 🦵🏻
大英	大英 🇬🇧
大蒜	大蒜 🧄
大虾	大虾 🦐
大蝦	大蝦 🦐
大衣	大衣 🧥
大象	大象 🐘
大閘蟹	大閘蟹 🦀
大闸蟹	大闸蟹 🦀
大陆	大陆 🇨🇳
大陸	大陸 🇨🇳
大雨	大雨 🌧️
大雪	大雪 ☃️
大韓民國	大韓民國 🇰🇷
大韩民国	大韩民国 🇰🇷
大頭釘	大頭釘 📌
大餅	大餅 🫓
大饼	大饼 🫓
大馬	大馬 🇲🇾
大马	大马 🇲🇾
大麻烦	大麻烦 🤦🏻
大麻烦女	大麻烦女 🤦🏻‍♀️
大麻烦男	大麻烦男 🤦🏻‍♂️
大麻煩	大麻煩 🤦🏻
大麻煩女	大麻煩女 🤦🏻‍♀️
大麻煩男	大麻煩男 🤦🏻‍♂️
天主教堂	天主教堂 ⛪️
天使	天使 👼🏻
天吶	天吶 😱 🙀 🤯
天呐	天呐 😱 🙀 🤯
天啊	天啊 😱 🙀 🤯
天妇罗	天妇罗 🍤
天婦羅	天婦羅 🍤
天平	天平 ⚖️
天房	天房 🕋
天才	天才 😇
天晴	天晴 ☀️
天枰座	天枰座 ♎️
天秤座	天秤座 ♎️
天線	天線 📡
天线	天线 📡
天蝎座	天蝎座 ♏️
天蠍座	天蠍座 ♏️
天阴	天阴 🌥️
天陰	天陰 🌥️
天鵝	天鵝 🦢
天鹅	天鹅 🦢
太可怕	太可怕 😨
太好了	太好了 🙆🏻
太好了女	太好了女 🙆🏻‍♀️
太好了男	太好了男 🙆🏻‍♂️
太子	太子 🤴🏻
太感謝	太感謝 🙏🏻
太感谢	太感谢 🙏🏻
太极	太极 ☯️
太極	太極 ☯️
太空人	太空人 🧑🏻‍🚀
太空人女	太空人女 👩🏻‍🚀
太空人男	太空人男 👨🏻‍🚀
太阳	太阳 🌞
太阳㡌	太阳㡌 🧢
太阳伞	太阳伞 ☂️
太阳神	太阳神 🌞
太阳花	太阳花 🌻
太阳菊	太阳菊 🌼
太阳镜	太阳镜 🕶️
太阴	太阴 🌝
太陰	太陰 🌝
太陽	太陽 🌞
太陽㡌	太陽㡌 🧢
太陽傘	太陽傘 ☂️
太陽神	太陽神 🌞
太陽花	太陽花 🌻
太陽菊	太陽菊 🌼
太陽鏡	太陽鏡 🕶️
